osm_id,amenity_type,name,lat,lon,is_station
11959072671,convenience,Lucky Mini Mart,41.9561291,-87.6799638,False
11976406263,supermarket,Wild Onion Market,42.0093834,-87.6736968,False
11983707647,convenience,Wicker Park Market,41.9774199,-87.9104625,False
12001509253,police,Chicago Police Department,41.7889676,-87.7419422,False
12027004611,convenience,West Loop Market,41.8829188,-87.6510996,False
12042618072,convenience,7-Eleven,41.8789317,-87.6572595,False
12061664116,community_centre,Metro Achievement Center,41.8773601,-87.6497352,False
12062109890,convenience,Tidak bernama,41.7478992,-87.6054164,False
12062109898,pharmacy,Walgreens,41.8029805,-87.6072955,False
12068207880,convenience,7-Eleven,41.8778806,-87.6437959,False
12068333587,supermarket,Metro Spice Mart,41.8800163,-87.6423494,False
12068333589,convenience,Circle K,41.8794187,-87.6409028,False
12068506992,pharmacy,Costco Pharmacy,42.0147401,-87.7813644,False
12068933371,supermarket,Rich's Food & Liquor,41.9662123,-87.8065832,False
12081723142,pharmacy,Walgreens,41.77811,-87.7027082,False
12097699004,supermarket,La Providencia,41.8542515,-87.6683834,False
12108669566,convenience,Shell,42.012471,-87.6637701,False
12108669567,pharmacy,CVS Pharmacy,42.0203295,-87.6898937,False
12108669568,pharmacy,Walgreens,42.0178257,-87.6908649,False
12118231983,supermarket,Tiệm Tạp Hóa Việt Hoa,41.9731855,-87.6566495,False
12123073597,supermarket,Mi Mexico,41.7863354,-87.6889397,False
12132865591,supermarket,Gangnam Market,41.896063,-87.653251,False
12140915185,convenience,Circle K,41.9765134,-87.6552477,False
12144842063,convenience,Tidak bernama,41.8743222,-87.8165393,False
12146279578,convenience,Tidak bernama,41.8094254,-87.622583,False
12146332950,supermarket,Adom African Market,41.8094268,-87.6218977,False
12165995952,convenience,South Loop Market,41.8532621,-87.6236117,False
12166003232,convenience,McCormick Market,41.853069,-87.6241433,False
12169129401,community_centre,Chicago Industrial Arts and Design Center,41.9990005,-87.6747734,False
12171066721,supermarket,Al-Bayan Grocery,41.9375968,-87.7861032,False
12173101194,convenience,BP Shop,41.9807428,-87.8065152,False
12181054650,supermarket,Seafood City,41.9730252,-87.7458436,False
12187113279,pharmacy,Walgreens,41.965663,-87.6679662,False
12202176531,convenience,Green Arch Food and Smoke,41.9835025,-87.6598083,False
12202217628,convenience,Citgo,41.8692979,-87.6440143,False
12218872701,pharmacy,CVS Pharmacy,41.8360286,-87.6736321,False
12223629660,convenience,South Loop Market,41.9238631,-87.6975704,False
12228461502,convenience,Riverside Market,41.9048846,-87.6483215,False
12229012041,supermarket,Trader Joe's,41.9498654,-87.6751046,False
12253620569,supermarket,The Fresh Market,41.9325722,-87.649496,False
12285946411,pharmacy,CVS Pharmacy,41.7204467,-87.7026894,False
12286138539,pharmacy,Walgreens,41.7207987,-87.7399178,False
